date,token_symbol,token_name,open,high,low,close,volume,market_cap,source
2025-04-27,MONERO,,230.38000000,233.95000000,227.54000000,233.90000000,51307360.00,4314694533.00,CoinMarketCap
2025-04-26,MONERO,,227.60000000,230.48000000,227.18000000,230.38000000,53879059.00,4249756828.00,CoinMarketCap
2025-04-25,MONERO,,227.89000000,230.92000000,227.07000000,227.60000000,66732376.00,4198440229.00,CoinMarketCap
2025-04-24,MONERO,,230.14000000,230.63000000,221.52000000,227.89000000,67485310.00,4203900694.00,CoinMarketCap
2025-04-23,MONERO,,226.88000000,230.56000000,225.09000000,230.18000000,92230040.00,4246116606.00,CoinMarketCap
2025-04-22,MONERO,,215.64000000,226.95000000,214.89000000,226.88000000,77699710.00,4185278741.00,CoinMarketCap
2025-04-21,MONERO,,214.36000000,216.69000000,213.05000000,215.61000000,76323315.00,3977936845.00,CoinMarketCap
2025-04-20,MONERO,,215.61000000,219.14000000,212.70000000,214.36000000,57244040.00,3954197630.00,CoinMarketCap
2025-04-19,MONERO,,215.92000000,216.13000000,210.10000000,215.61000000,60753502.00,3977339935.00,CoinMarketCap
2025-04-18,MONERO,,216.71000000,219.73000000,214.82000000,215.92000000,57773803.00,3983067228.00,CoinMarketCap
2025-04-17,MONERO,,218.64000000,219.42000000,215.18000000,216.71000000,73105400.00,3997567615.00,CoinMarketCap
2025-04-16,MONERO,,215.50000000,220.13000000,215.21000000,218.64000000,84837507.00,4033270506.00,CoinMarketCap
2025-04-15,MONERO,,214.90000000,216.88000000,210.70000000,215.50000000,67296037.00,3975304320.00,CoinMarketCap
2025-04-14,MONERO,,203.20000000,216.91000000,203.19000000,214.90000000,68825870.00,3964284740.00,CoinMarketCap
2025-04-13,MONERO,,207.32000000,212.12000000,200.97000000,203.20000000,57972087.00,3748382600.00,CoinMarketCap
2025-04-12,MONERO,,206.64000000,209.80000000,204.68000000,207.32000000,57363384.00,3824446823.00,CoinMarketCap
2025-04-11,MONERO,,200.86000000,206.66000000,200.05000000,206.64000000,61901809.00,3811880875.00,CoinMarketCap
2025-04-10,MONERO,,203.01000000,205.06000000,198.35000000,200.86000000,55669346.00,3705286825.00,CoinMarketCap
2025-04-09,MONERO,,194.62000000,205.52000000,192.62000000,203.00000000,82476379.00,3744623337.00,CoinMarketCap
2025-04-08,MONERO,,203.69000000,208.16000000,194.60000000,194.62000000,68977456.00,3590056965.00,CoinMarketCap
2025-04-07,MONERO,,198.96000000,204.84000000,185.38000000,203.69000000,104846681.00,3757387529.00,CoinMarketCap
2025-04-06,MONERO,,213.24000000,215.68000000,196.28000000,198.96000000,60662218.00,3670126656.00,CoinMarketCap
2025-04-05,MONERO,,215.29000000,218.90000000,211.04000000,213.24000000,52936454.00,3933541075.00,CoinMarketCap
2025-04-04,MONERO,,215.01000000,218.85000000,212.92000000,215.29000000,74222388.00,3971447735.00,CoinMarketCap
2025-04-03,MONERO,,214.70000000,217.46000000,207.67000000,215.01000000,76579906.00,3966159634.00,CoinMarketCap
2025-04-02,MONERO,,216.84000000,221.96000000,213.26000000,214.70000000,86277885.00,3960462871.00,CoinMarketCap
2025-04-01,MONERO,,214.88000000,219.58000000,214.88000000,216.85000000,63023366.00,3999986838.00,CoinMarketCap
2025-03-31,MONERO,,217.89000000,218.33000000,213.98000000,214.87000000,61907132.00,3963833254.00,CoinMarketCap
2025-03-30,MONERO,,215.45000000,219.03000000,215.36000000,217.89000000,46240810.00,4019337729.00,CoinMarketCap
2025-03-29,MONERO,,217.62000000,219.67000000,213.00000000,215.46000000,45150514.00,3974488254.00,CoinMarketCap
2025-03-28,MONERO,,225.03000000,226.27000000,215.45000000,217.62000000,63843307.00,4014341772.00,CoinMarketCap
2025-03-27,MONERO,,222.76000000,225.22000000,220.71000000,225.03000000,62932050.00,4151071441.00,CoinMarketCap
2025-03-26,MONERO,,219.77000000,228.60000000,219.74000000,222.76000000,73151198.00,4109205984.00,CoinMarketCap
2025-03-25,MONERO,,219.06000000,224.93000000,218.64000000,219.77000000,73316631.00,4054119777.00,CoinMarketCap
2025-03-24,MONERO,,216.58000000,222.18000000,216.53000000,219.06000000,69849554.00,4040868226.00,CoinMarketCap
2025-03-23,MONERO,,214.39000000,218.18000000,214.39000000,216.58000000,52977824.00,3995177426.00,CoinMarketCap
2025-03-22,MONERO,,212.79000000,217.68000000,212.79000000,214.39000000,46994257.00,3954838574.00,CoinMarketCap
2025-03-21,MONERO,,210.42000000,214.01000000,206.67000000,212.79000000,54010417.00,3925329374.00,CoinMarketCap
2025-03-20,MONERO,,207.26000000,211.35000000,207.00000000,210.43000000,63857694.00,3881514848.00,CoinMarketCap
2025-03-19,MONERO,,208.84000000,210.33000000,204.80000000,207.25000000,65692110.00,3823043554.00,CoinMarketCap
2025-03-18,MONERO,,212.55000000,212.69000000,205.12000000,208.84000000,55716823.00,3852454685.00,CoinMarketCap
2025-03-17,MONERO,,209.09000000,212.64000000,208.50000000,212.55000000,54883284.00,3920807877.00,CoinMarketCap
2025-03-16,MONERO,,213.22000000,214.66000000,208.47000000,209.10000000,47795684.00,3857201679.00,CoinMarketCap
2025-03-15,MONERO,,209.97000000,213.35000000,208.23000000,213.21000000,39856221.00,3933167587.00,CoinMarketCap
2025-03-14,MONERO,,206.94000000,211.29000000,205.89000000,209.99000000,53145408.00,3873613623.00,CoinMarketCap
2025-03-13,MONERO,,208.62000000,211.33000000,205.04000000,206.94000000,54175154.00,3817307761.00,CoinMarketCap
2025-03-12,MONERO,,212.13000000,213.11000000,204.39000000,208.62000000,56291772.00,3848382179.00,CoinMarketCap
2025-03-11,MONERO,,201.29000000,213.71000000,196.80000000,212.13000000,62499753.00,3913069759.00,CoinMarketCap
2025-03-10,MONERO,,211.42000000,213.59000000,197.07000000,201.30000000,72240091.00,3713292065.00,CoinMarketCap
2025-03-09,MONERO,,220.50000000,221.47000000,210.83000000,211.42000000,42451327.00,3899956655.00,CoinMarketCap
